,Mitocondria,Citoplasma,Nucleo,Membrana,Retículo endoplasmático,Metabolismo,"Procesos metabólicos
 del RNA",Traducción,Otro
WBGene00000063,0,2,0,0,0,0,0,0,9
WBGene00000182,0,0,0,0,5,0,0,0,9
WBGene00000183,0,0,0,0,0,0,0,0,9
WBGene00000209,1,0,0,4,0,6,0,0,9
WBGene00000210,1,0,0,4,0,6,0,0,9
WBGene00000263,0,0,0,4,0,0,0,0,0
WBGene00000378,0,2,0,0,0,0,0,0,9
WBGene00000379,0,2,0,0,0,0,0,0,9
WBGene00000534,0,2,0,0,0,0,0,0,9
WBGene00000881,0,2,0,0,0,6,0,0,9
WBGene00000896,0,0,0,4,5,6,0,0,9
WBGene00001005,0,2,3,0,0,0,0,0,9
WBGene00001393,0,0,0,4,0,6,0,0,9
WBGene00001423,0,0,3,0,0,6,7,8,9
WBGene00001427,0,0,0,0,0,0,0,0,9
WBGene00001501,0,0,0,0,0,0,0,0,9
WBGene00001840,0,0,3,0,0,0,7,0,9
WBGene00001946,0,0,3,0,0,0,0,0,9
WBGene00002191,0,0,3,0,0,6,0,0,9
WBGene00003053,0,2,0,4,0,0,0,0,9
WBGene00003065,0,0,0,4,0,0,0,0,9
WBGene00003123,0,0,3,0,0,0,7,0,9
WBGene00003214,1,0,0,0,0,6,0,8,9
WBGene00003372,0,2,0,0,0,0,0,0,9
WBGene00003962,0,0,0,0,5,6,0,0,9
WBGene00004046,0,0,3,0,0,0,0,0,9
WBGene00004266,0,0,0,0,0,0,0,0,9
WBGene00004302,0,0,3,0,0,0,0,0,9
WBGene00004444,0,0,0,0,0,0,0,0,9
WBGene00004453,0,0,0,0,0,0,0,8,9
WBGene00004497,0,2,0,0,5,0,7,8,9
WBGene00004498,0,0,0,0,0,0,0,8,9
WBGene00004766,0,0,0,4,0,0,0,0,9
WBGene00004888,0,2,3,0,0,6,0,0,9
WBGene00004914,0,2,3,0,0,0,7,0,9
WBGene00004918,0,2,3,0,0,0,7,0,9
WBGene00004920,0,2,3,0,0,0,7,0,9
WBGene00006434,0,2,0,0,0,6,0,0,9
WBGene00006910,0,0,0,4,0,0,0,0,9
WBGene00006913,0,0,0,4,0,0,0,0,9
WBGene00006917,0,2,0,4,0,0,0,0,9
WBGene00006918,0,0,0,0,0,0,0,0,9
WBGene00006919,0,0,0,0,0,6,0,0,9
WBGene00006984,0,0,0,4,0,0,0,0,9
WBGene00007630,1,2,0,0,0,0,0,0,9
WBGene00007684,1,0,0,4,0,6,0,0,9
WBGene00007708,0,0,3,0,0,0,7,0,9
WBGene00009050,0,0,3,0,0,0,0,0,9
WBGene00009664,1,0,0,0,0,6,0,0,9
WBGene00009739,1,0,0,4,0,6,0,0,9
WBGene00009880,0,0,0,0,0,0,0,0,0
WBGene00009882,0,0,0,4,0,0,0,0,9
WBGene00009915,0,0,0,4,0,0,0,0,0
WBGene00010174,0,0,0,0,0,0,0,0,0
WBGene00010317,0,0,0,0,0,6,0,0,9
WBGene00010478,0,0,3,0,0,0,7,0,9
WBGene00010627,0,0,3,0,0,0,0,0,9
WBGene00010809,1,0,0,0,0,6,0,0,9
WBGene00010896,0,0,3,0,0,0,7,0,9
WBGene00011128,0,0,3,0,0,6,0,0,9
WBGene00011156,0,0,0,0,0,0,0,0,9
WBGene00011510,1,0,0,0,0,6,0,0,9
WBGene00012097,0,0,0,0,0,0,0,0,9
WBGene00012179,0,0,0,0,0,0,0,8,9
WBGene00012344,0,2,0,0,5,0,0,0,9
WBGene00012602,0,0,0,0,0,0,0,0,0
WBGene00012768,0,2,0,0,0,6,7,8,9
WBGene00013238,0,0,0,4,5,0,0,0,9
WBGene00013463,1,2,0,4,0,0,0,0,9
WBGene00013766,0,2,3,0,5,6,0,0,9
WBGene00014454,0,0,0,0,0,0,0,0,0
WBGene00015248,1,0,0,0,0,6,0,0,9
WBGene00015514,0,0,0,0,0,0,0,0,0
WBGene00015755,1,0,0,4,0,6,0,0,9
WBGene00015778,0,0,0,0,0,6,0,0,9
WBGene00016655,0,0,0,0,0,6,0,0,9
WBGene00016746,0,0,0,4,0,0,0,0,0
WBGene00017075,0,2,3,0,0,0,0,0,9
WBGene00017925,0,0,0,4,0,0,0,0,0
WBGene00017926,1,0,0,4,0,0,0,0,0
WBGene00017982,0,0,0,0,0,6,0,0,9
WBGene00017984,0,0,0,0,0,6,0,0,9
WBGene00018151,0,0,0,0,0,6,0,0,9
WBGene00018963,1,0,0,0,0,0,0,0,9
WBGene00019007,1,0,0,0,0,6,0,0,0
WBGene00019537,0,2,0,0,0,0,0,8,9
WBGene00019680,0,0,0,0,0,0,0,0,0
WBGene00020216,0,0,0,4,5,0,0,0,0
WBGene00020297,0,0,3,0,0,0,0,0,9
WBGene00020507,0,0,0,0,0,0,0,0,9
WBGene00020604,1,2,0,0,0,6,0,0,9
WBGene00020868,0,0,0,0,0,6,0,0,9
WBGene00020894,0,0,0,0,0,0,0,0,0
WBGene00020915,0,0,3,0,0,0,0,0,9
WBGene00021088,0,0,0,0,0,0,0,0,0
WBGene00021248,0,0,0,0,0,0,0,0,9
WBGene00021420,0,0,0,4,5,0,0,0,9
WBGene00021427,0,0,0,4,5,0,0,0,9
WBGene00021960,0,2,0,4,0,6,0,0,0
WBGene00022114,0,2,0,0,0,0,0,0,0
WBGene00022122,0,0,0,4,5,0,0,0,0
WBGene00022599,0,0,0,0,0,0,0,0,9
WBGene00077526,0,0,0,0,0,0,0,0,0
