,connectivity,dynamicColors,moduleColors,moduleLabels
WBGene00004409,93.92683873078343,coral,coral,8
WBGene00004475,93.3913927657249,coral,coral,8
WBGene00004487,92.95330936396881,coral,coral,8
WBGene00004441,92.67957048592974,coral,coral,8
WBGene00004473,92.64200812157674,coral,coral,8
WBGene00004428,92.54628949617894,coral,coral,8
WBGene00004491,92.50641190680614,coral,coral,8
WBGene00004470,92.15854993508384,coral,coral,8
WBGene00004414,91.9708634783091,coral,coral,8
WBGene00010556,91.5909805624729,coral,coral,8
WBGene00004492,91.31157196732377,coral,coral,8
WBGene00004433,91.25530818321646,coral,coral,8
WBGene00004440,90.77967700215967,coral,coral,8
WBGene00004484,90.71421148365175,coral,coral,8
WBGene00004417,90.65245119826399,coral,coral,8
WBGene00004412,90.63792528431931,coral,coral,8
WBGene00004413,90.43437187622818,coral,coral,8
WBGene00004477,90.42095682761386,coral,coral,8
WBGene00004418,90.36611074680233,coral,coral,8
WBGene00004429,90.26663159620276,coral,coral,8
