,Total de genes,Genes predichos,Fold change,p-value
lightcoral,1704,18,1.7572493786246892,0.0
coral,718,24,5.560543994756677,0.0
snow,597,6,1.6718888560449305,8.930247477832558e-251
whitesmoke,960,13,2.2526960784313723,0.0
silver,842,8,1.5805505099902195,0.0
sienna,180,7,6.469281045751634,3.489064207884672e-67
lightsalmon,655,1,0.2539739559946116,5.434315492924127e-288
darkseagreen,75,1,2.2180392156862747,1.7315201265979642e-31
blanchedalmond,114,0,0.0,2.105545417258526e-50
darkred,483,4,1.3776641091219095,3.994463414869117e-204
chocolate,630,4,1.0562091503267974,1.1781920789603231e-269
darkorange,867,2,0.383743808942262,0.0
brown,1687,3,0.29582621430314865,0.0
darksalmon,112,1,1.4852941176470587,1.7935191430679664e-47
sandybrown,282,0,0.0,3.161061085629007e-124
olive,441,0,0.0,8.775847048093293e-195
yellowgreen,135,1,1.232244008714597,1.873912931412236e-57
bisque,309,2,1.0767180658671236,1.8349981930006978e-131
goldenrod,111,2,2.9973502914679386,2.7416315250013607e-45
tan,131,0,0.0,7.703157503630167e-58
palegoldenrod,99,0,0.0,7.56708134267251e-44
greenyellow,439,0,0.0,6.839134479265938e-194
lightgoldenrodyellow,407,2,0.817459170400347,1.0691628334040303e-174
black,487,0,0.0,2.535554366889283e-215
darkgrey,193,0,0.0,5.0214218298223463e-85
antiquewhite,231,0,0.0,9.746031844071295e-102
saddlebrown,219,0,0.0,1.8637891578456315e-96
darkkhaki,96,0,0.0,1.5464704666516073e-42
mistyrose,99,0,0.0,7.56708134267251e-44
salmon,116,0,0.0,2.810921057098921e-51
indianred,199,1,0.8359444280224653,2.3482073305759673e-85
wheat,113,0,0.0,5.762138343879491e-50
cornsilk,195,0,0.0,6.640366655083908e-86
olivedrab,113,0,0.0,5.762138343879491e-50
moccasin,176,1,0.9451871657754012,2.6149929502454797e-75
peru,104,0,0.0,4.947529476499866e-46
maroon,86,0,0.0,3.5950384038834167e-38
darkgoldenrod,81,0,0.0,5.4690851011542755e-36
floralwhite,73,0,0.0,1.690865027724492e-32
honeydew,97,0,0.0,5.656699550998706e-43
gold,162,0,0.0,2.0243442090950264e-71
navajowhite,268,0,0.0,4.787621006730299e-118
burlywood,60,0,0.0,7.8732011517699e-27
lightgrey,384,0,0.0,2.0648786772913061e-169
lightyellow,51,1,3.2618223760092273,3.426998674833923e-21
dimgrey,77,0,0.0,3.042414917752646e-34
palegreen,180,0,0.0,2.5668457133732246e-79
linen,105,0,0.0,1.8088504634205508e-46
white,192,0,0.0,1.3807172378789243e-84
ivory,236,0,0.0,6.124299042982883e-104
chartreuse,82,0,0.0,2.0022769420627306e-36
khaki,160,0,0.0,1.5247331238921463e-70
darkolivegreen,57,0,0.0,1.5978729467435346e-25
peachpuff,73,0,0.0,1.690865027724492e-32
papayawhip,103,0,0.0,1.3531570470234772e-45
lawngreen,71,0,0.0,1.26008336986316e-31
yellow,51,0,0.0,6.57095344273079e-23
