Samples;Groups;BioSample;Bases;Experiment;GEO_Accession;create_date
Ecoli_15_.1;Ecoli_15;SRR5832182;SAMN07357928;E.coli feeding;SRX3009489;grown at 15ºC
Ecoli_15_.2;Ecoli_15;SRR5832183;SAMN07357927;E.coli feeding;SRX3009490;grown at 15ºC
Ecoli_15_.3;Ecoli_15;SRR5832184;SAMN07357926;E.coli feeding;SRX3009491;grown at 15ºC
Ecoli_20_.1;Ecoli_20;SRR5832185;SAMN07357925;E.coli feeding;SRX3009492;grown at 20ºC
Ecoli_20_.2;Ecoli_20;SRR5832186;SAMN07357924;E.coli feeding;SRX3009493;grown at 20ºC
Ecoli_20_.3;Ecoli_20;SRR5832187;SAMN07357923;E.coli feeding;SRX3009494;grown at 20ºC
Ecoli_25_.1;Ecoli_25;SRR5832188;SAMN07357922;E.coli feeding;SRX3009495;grown at 25ºC
Ecoli_25_.2;Ecoli_25;SRR5832189;SAMN07357939;E.coli feeding;SRX3009496;grown at 25ºC
Ecoli_25_.3;Ecoli_25;SRR5832190;SAMN07357938;E.coli feeding;SRX3009497;grown at 25ºC
Bsub_15_.1;Bsub_15;SRR5832191;SAMN07357937;B.subtillis feeding;SRX3009498;grown at 15ºC
Bsub_15_.2;Bsub_15;SRR5832192;SAMN07357936;B.subtillis feeding;SRX3009499;grown at 15ºC
Bsub_15_.3;Bsub_15;SRR5832193;SAMN07357935;B.subtillis feeding;SRX3009500;grown at 15ºC
Bsub_20_.1;Bsub_20;SRR5832194;SAMN07357934;B.subtillis feeding;SRX3009501;grown at 20ºC
Bsub_20_.2;Bsub_20;SRR5832195;SAMN07357933;B.subtillis feeding;SRX3009502;grown at 20ºC
Bsub_20_.3;Bsub_20;SRR5832196;SAMN07357932;B.subtillis feeding;SRX3009503;grown at 20ºC
Bsub_25_.1;Bsub_25;SRR5832197;SAMN07357931;B.subtillis feeding;SRX3009504;grown at 25ºC
Bsub_25_.2;Bsub_25;SRR5832198;SAMN07357930;B.subtillis feeding;SRX3009505;grown at 25ºC
Bsub_25_.3;Bsub_25;SRR5832199;SAMN07357929;B.subtillis feeding;SRX3009506;grown at 25ºC
